# n, <n|PHOT>
0.000000 0.999949
1.000000 0.000173
2.000000 -0.009681
3.000000 -0.000189
4.000000 0.002592
5.000000 0.000133
6.000000 -0.000786
7.000000 -0.000050
8.000000 0.000104
9.000000 0.000026
