# n, <n|PHOT>
0.000000 0.999838
1.000000 0.000201
2.000000 -0.016832
3.000000 -0.000096
4.000000 0.005629
5.000000 0.000008
6.000000 -0.002461
7.000000 0.000004
8.000000 0.001112
9.000000 -0.000009
