# n, <n|PHOT>
0.000000 0.999589
1.000000 0.000791
2.000000 0.028615
3.000000 0.000058
4.000000 0.001476
5.000000 -0.000104
6.000000 0.000057
7.000000 0.000061
8.000000 0.000067
9.000000 -0.000036
