# n, <n|PHOT>
0.000000 0.995187
1.000000 0.003070
2.000000 0.096643
3.000000 0.000036
4.000000 0.015568
5.000000 -0.000067
6.000000 0.003144
7.000000 0.000175
8.000000 0.000729
9.000000 0.000013
