# n, <n|PHOT>
0.000000 0.999226
1.000000 0.003897
2.000000 0.037107
3.000000 0.000605
4.000000 0.012246
5.000000 0.000357
6.000000 -0.000869
7.000000 0.000200
8.000000 0.001556
9.000000 0.000032
