# n, <n|PHOT>
0.000000 0.997201
1.000000 0.002445
2.000000 0.072682
3.000000 0.000808
4.000000 0.016657
5.000000 0.000368
6.000000 0.004571
7.000000 0.000322
8.000000 0.001288
9.000000 0.000042
