0.000000000000000000e+00 0.000000000000000000e+00 2.928490000000000173e-03
1.000000000000000056e-01 3.399990000000019386e-03 1.568039999999999929e-03
2.000000000000000111e-01 1.529062999999997174e-02 1.971629999999999824e-03
3.000000000000000444e-01 3.473837999999995763e-02 2.304319999999999893e-03
4.000000000000000222e-01 5.880803000000001113e-02 1.906570000000000010e-03
5.000000000000000000e-01 9.083426999999999474e-02 1.836509999999999965e-03
6.000000000000000888e-01 1.243176400000000070e-01 1.755709999999999953e-03
7.000000000000000666e-01 1.625983100000000237e-01 2.046640000000000178e-03
8.000000000000000444e-01 2.046082999999999652e-01 2.231069999999999928e-03
9.000000000000000222e-01 2.489108799999999455e-01 1.658329999999999960e-03
1.000000000000000000e+00 2.943815599999999311e-01 2.024719999999999819e-03
