# n, <n|PHOT>
0.000000 1.000000
1.000000 -0.000871
2.000000 0.000044
3.000000 0.000058
4.000000 0.000113
5.000000 0.000072
6.000000 -0.000097
7.000000 -0.000070
8.000000 0.000094
9.000000 0.000031
