# n, <n|PHOT>
0.000000 0.971448
1.000000 0.000904
2.000000 0.222505
3.000000 0.000370
4.000000 0.074953
5.000000 0.000113
6.000000 0.030354
7.000000 -0.000004
8.000000 0.013444
9.000000 -0.000003
