# n, <n|PHOT>
0.000000 0.993279
1.000000 -0.004554
2.000000 0.112108
3.000000 -0.001189
4.000000 0.027590
5.000000 -0.000141
6.000000 0.006230
7.000000 -0.000115
8.000000 0.002312
9.000000 -0.000041
