# n, <n|PHOT>
0.000000 0.999909
1.000000 -0.000427
2.000000 0.013440
3.000000 0.000027
4.000000 0.000408
5.000000 0.000031
6.000000 -0.000028
7.000000 0.000005
8.000000 0.000036
9.000000 -0.000000
