# n, <n|PHOT>
0.000000 0.981484
1.000000 0.000090
2.000000 0.177525
3.000000 -0.001064
4.000000 0.067689
5.000000 -0.000499
6.000000 0.020942
7.000000 -0.000451
8.000000 0.011242
9.000000 -0.000135
