# n, <n|PHOT>
0.000000 0.997373
1.000000 0.002434
2.000000 0.070057
3.000000 0.000934
4.000000 0.017426
5.000000 0.000573
6.000000 0.005013
7.000000 0.000264
8.000000 0.001338
9.000000 0.000140
