# n, <n|PHOT>
0.000000 0.993755
1.000000 0.001049
2.000000 0.109626
3.000000 0.000063
4.000000 0.020170
5.000000 0.000058
6.000000 0.004795
7.000000 0.000077
8.000000 0.001290
9.000000 -0.000082
