# n, <n|PHOT>
0.000000 1.000000
1.000000 -0.000033
2.000000 -0.000072
3.000000 0.000118
4.000000 -0.000004
5.000000 -0.000087
6.000000 0.000003
7.000000 0.000028
8.000000 0.000011
9.000000 0.000000
