# n, <n|PHOT>
0.000000 0.985088
1.000000 0.000211
2.000000 0.164505
3.000000 0.000056
4.000000 0.047343
5.000000 -0.000236
6.000000 0.015878
7.000000 -0.000186
8.000000 0.005861
9.000000 -0.000157
