# n, <n|PHOT>
0.000000 0.993228
1.000000 -0.000178
2.000000 0.114068
3.000000 0.000370
4.000000 0.021401
5.000000 -0.000038
6.000000 0.005124
7.000000 -0.000030
8.000000 0.001297
9.000000 0.000032
