# n, <n|PHOT>
0.000000 0.991125
1.000000 0.000649
2.000000 0.125785
3.000000 -0.000230
4.000000 0.041677
5.000000 -0.000002
6.000000 0.008928
7.000000 0.000034
8.000000 0.005327
9.000000 -0.000146
