# n, <n|PHOT>
0.000000 0.992858
1.000000 -0.001672
2.000000 0.117235
3.000000 0.000016
4.000000 0.021446
5.000000 0.000083
6.000000 0.005014
7.000000 -0.000070
8.000000 0.001254
9.000000 0.000106
