# n, <n|PHOT>
0.000000 0.998295
1.000000 -0.006076
2.000000 0.055883
3.000000 -0.000526
4.000000 0.015573
5.000000 -0.000183
6.000000 0.000225
7.000000 -0.000061
8.000000 0.001636
9.000000 0.000076
