# n, <n|PHOT>
0.000000 0.968018
1.000000 -0.000209
2.000000 0.234007
3.000000 -0.000200
4.000000 0.081937
5.000000 -0.000172
6.000000 0.033831
7.000000 -0.000018
8.000000 0.015511
9.000000 0.000033
