# n, <n|PHOT>
0.000000 0.999142
1.000000 0.000173
2.000000 0.041283
3.000000 0.000015
4.000000 0.003417
5.000000 -0.000043
6.000000 0.000280
7.000000 0.000033
8.000000 0.000117
9.000000 -0.000029
