# n, <n|PHOT>
0.000000 0.995567
1.000000 -0.001470
2.000000 0.091617
3.000000 0.000207
4.000000 0.020344
5.000000 -0.000019
6.000000 0.005780
7.000000 0.000196
8.000000 0.001664
9.000000 0.000008
