# n, <n|PHOT>
0.000000 0.950529
1.000000 -0.000988
2.000000 0.278237
3.000000 -0.000048
4.000000 0.120945
5.000000 -0.000032
6.000000 0.057186
7.000000 0.000039
8.000000 0.028623
9.000000 -0.000059
