# n, <n|PHOT>
0.000000 0.999842
1.000000 0.000473
2.000000 0.017752
3.000000 0.000107
4.000000 0.000727
5.000000 0.000081
6.000000 0.000225
7.000000 -0.000026
8.000000 -0.000249
9.000000 -0.000027
