# n, <n|PHOT>
0.000000 0.971640
1.000000 -0.000977
2.000000 0.221950
3.000000 0.000022
4.000000 0.074896
5.000000 0.000134
6.000000 0.029147
7.000000 -0.000020
8.000000 0.012399
9.000000 -0.000058
