# n, <n|PHOT>
0.000000 0.997224
1.000000 -0.000199
2.000000 0.071271
3.000000 -0.001086
4.000000 0.021320
5.000000 -0.000201
6.000000 0.001560
7.000000 -0.000395
8.000000 0.002401
9.000000 0.000014
