# n, <n|PHOT>
0.000000 0.965426
1.000000 0.006913
2.000000 0.240295
3.000000 0.003183
4.000000 0.091380
5.000000 0.001606
6.000000 0.037774
7.000000 0.000914
8.000000 0.016660
9.000000 0.000426
