# n, <n|PHOT>
0.000000 0.999537
1.000000 -0.008433
2.000000 -0.022115
3.000000 -0.000484
4.000000 0.016017
5.000000 -0.000032
6.000000 -0.007891
7.000000 -0.000005
8.000000 0.005022
9.000000 -0.000104
