# n, <n|PHOT>
0.000000 0.993283
1.000000 0.002651
2.000000 0.111387
3.000000 0.002099
4.000000 0.029828
5.000000 0.001106
6.000000 0.008005
7.000000 0.000776
8.000000 0.003325
9.000000 0.000239
