# n, <n|PHOT>
0.000000 0.995815
1.000000 0.000776
2.000000 0.090480
3.000000 -0.000111
4.000000 0.012638
5.000000 0.000003
6.000000 0.002229
7.000000 -0.000023
8.000000 0.000423
9.000000 0.000054
