# n, <n|PHOT>
0.000000 0.998385
1.000000 -0.005476
2.000000 0.055435
3.000000 -0.000224
4.000000 0.011036
5.000000 -0.000096
6.000000 0.001371
7.000000 0.000032
8.000000 0.000515
9.000000 -0.000044
