# n, <n|PHOT>
0.000000 0.964721
1.000000 0.005892
2.000000 0.242157
3.000000 0.003228
4.000000 0.092871
5.000000 0.001798
6.000000 0.039284
7.000000 0.000972
8.000000 0.018063
9.000000 0.000484
