# n, <n|PHOT>
0.000000 0.993443
1.000000 0.000340
2.000000 0.112221
3.000000 0.000046
4.000000 0.021205
5.000000 0.000142
6.000000 0.005086
7.000000 -0.000066
8.000000 0.001469
9.000000 0.000029
