# n, <n|PHOT>
0.000000 0.989216
1.000000 -0.000975
2.000000 0.142264
3.000000 0.000158
4.000000 0.033306
5.000000 -0.000058
6.000000 0.009465
7.000000 -0.000238
8.000000 0.003301
9.000000 0.000192
