# n, <n|PHOT>
0.000000 0.983944
1.000000 0.000559
2.000000 0.172459
3.000000 -0.000157
4.000000 0.043640
5.000000 0.000159
6.000000 0.013482
7.000000 -0.000110
8.000000 0.004622
9.000000 0.000039
