# n, <n|PHOT>
0.000000 0.977444
1.000000 0.004103
2.000000 0.197725
3.000000 0.002168
4.000000 0.067865
5.000000 0.001284
6.000000 0.026622
7.000000 0.000322
8.000000 0.011256
9.000000 0.000338
