# n, <n|PHOT>
0.000000 0.965699
1.000000 -0.000912
2.000000 0.242956
3.000000 -0.000398
4.000000 0.084058
5.000000 -0.000033
6.000000 0.032906
7.000000 -0.000168
8.000000 0.014034
9.000000 -0.000006
