# n, <n|PHOT>
0.000000 0.979795
1.000000 0.000254
2.000000 0.184511
3.000000 -0.000243
4.000000 0.072339
5.000000 0.000050
6.000000 0.023285
7.000000 -0.000121
8.000000 0.012345
9.000000 -0.000103
