# n, <n|PHOT>
0.000000 0.996882
1.000000 0.005176
2.000000 0.076491
3.000000 0.001203
4.000000 0.017888
5.000000 0.000356
6.000000 0.004858
7.000000 0.000104
8.000000 0.001172
9.000000 -0.000028
